,X,Y,Z,formation
0,32308823.407801546,5628151.418018153,236.52999877929688,Carboniferous
1,32305656.70815938,5625648.573679435,254.7899932861328,Carboniferous
2,32301168.227071874,5622303.639393261,261.45001220703125,Carboniferous
3,32312026.739920475,5630207.760633748,213.24000549316406,Carboniferous
4,32291500.692646626,5624019.948069167,250.9499969482422,Carboniferous
5,32295590.678994708,5627037.097219997,191.0,Carboniferous
6,32298781.130257405,5630034.1767142685,177.64999389648438,Carboniferous
7,32302094.985825185,5631968.320267183,180.67999267578125,Carboniferous
8,32305185.407083433,5633967.638242255,191.33999633789062,Carboniferous
9,32309067.76066097,5636328.1420196425,151.38999938964844,Carboniferous
10,32304612.605903048,5636549.368133165,162.91000366210938,Devonian
11,32301761.193990324,5634932.050336825,184.39999389648438,Devonian
12,32298382.48679371,5632723.452525356,209.3699951171875,Devonian
13,32295054.428585906,5630458.103410275,164.1699981689453,Devonian
14,32291502.401713617,5628258.29607781,222.80999755859375,Devonian
15,32303715.132593278,5621593.463155991,295.32000732421875,Devonian
16,32307629.67188024,5624571.702852557,246.50999450683594,Devonian
17,32310732.07429183,5626855.60158308,255.63999938964844,Devonian
18,32312741.673983745,5628343.485517249,266.1199951171875,Devonian
